country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,125,125,1458,3568,-2110,-5121,3.2,26.7,4,5.3,1513.1,68.6,8.2,0.3,3.3,27.7,61.6,8.3,42,2.1,63,5,21.43
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,1.7,8.8,14.6,5.9,1.3,3.5,22.9,106.4,63.3,130,28.2,84,36,2.96
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160,161,29992,47091,-17099,-27229,2,70.7,2.8,3,99.8,27.7,7.2,...,...,31.6,113,38.2,135,0.8,5900,55,0.05
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,119,119,57733,55610,2124,-15944,1,91.8,1,2.3,5,13.7,4.8,3.8,5.3,38.9,143.9,69.4,256,10,3167,85,0.01
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,135,135,1776,3230,-1455,-279,0.3,62.7,-0.1,1.6,19.3,13.2,4.5,2.8,2.8,9.9,115.2,58.2,114,11.7,48,46,3.17
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,224,-57746,1.5,89.4,1.5,1.9,58.2,3.9,9.4,3.4,5.2,28.7,132.8,84.6,948,16.2,15282,222,-99
Austria,WesternEurope,83871,8736,106,96.2,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108,108,145503,149299,-3795,7020,0.6,66,0.4,1.4,166.4,3.3,11.2,5.2,5.5,30.6,157.4,83.9,118,46.9,505,158,-99
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,611,-222,1.3,54.6,1.6,2.1,623.3,31.4,6,3.4,2.6,16.8,111.3,77,97,13.5,2459,61,0.14
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,167,167,12892,14749,-1856,1124,2,88.8,1.7,2.1,0.4,6.9,5,0.9,2.7,7.5,185.3,93.5,36,0.8,961,413,-99
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,141,140,36031,52624,-16593,2687,1.2,34.3,3.6,2.2,233,33.3,2.8,0.4,1.9,20.3,83.4,14.4,151,11,1438,11,1.24
Belarus,EasternEurope,207600,9468,46.7,87,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,122,122,23414,27464,-4050,-2037,~0.0,76.7,~0.0,1.6,7.9,3.6,5.7,4.1,4.9,34.5,123.6,62.2,25,42.5,155,122,0.2
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108,107,398033,372713,25321,1936,0.6,97.9,0.5,1.8,63.8,3.5,10.6,3,6.6,38,115.7,85.1,37,22.6,520,196,-99
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,152,158,410,2630,-2220,-885,2.8,44,3.7,5.2,0.8,67.7,4.6,0.1,4.4,7.2,85.6,6.8,88,38.7,96,17,5.09
Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98,98,616,1688,-1072,-579,1.6,38.6,3.7,2.2,-99,30.5,3.6,0.3,7.4,8.5,87.1,39.8,71,72,75,82,5.26
Bolivia,SouthAmerica,1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,-1405,-1854,1.6,68.5,2.3,3,0.8,42.9,6.3,0.5,7.3,53.1,92.2,45.1,231,50.8,962,32,2.38
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,96,97,5327,9130,-3803,-923,-1,39.8,0.1,1.3,157.6,7.6,9.6,1.9,-99,21.4,90.2,65.1,91,42.7,252,85,2.2
Botswana,SouthernAfrica,582000,2292,4,97.7,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110,110,7321,6103,1218,1120,1.8,57.4,1.3,2.9,2.8,35.2,5.4,0.4,...,9.5,169,27.5,28,19.3,47,44,0.46
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,1.8,41.1,15.8,8.3,1.9,6,10.7,126.6,59.1,990,59.2,10948,61,0.06
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117,119,26088,28875,-2787,196,-0.6,73.9,-0.3,1.5,33.7,8.3,8.4,4,4.1,19.2,129.3,56.7,104,35.1,474,103,-99
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,131,134,2019,3699,-1680,-998,3,29.9,5.9,5.6,32.7,64.8,5,~0.0,4.1,11,80.6,11.4,31,19.8,123,9,9.11
Burundi,EasternAfrica,27830,10864,423.1,96.9,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,109,122,123,625,-502,-375,3,12.1,5.7,6,103.2,77.8,7.5,...,5.4,36.4,46.2,4.9,61,10.6,56,6,11.91
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,175,177,13204,15313,-2109,-1657,1.6,20.7,2.6,2.7,0.3,29.9,5.7,0.2,1.9,20.3,133,19,255,54.3,178,17,3.97
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,-2768,-1173,2.7,54.4,3.6,5,544.9,67.5,4.1,...,3,31.1,71.8,20.7,775,40.3,408,14,2.31
Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109,109,388911,402954,-14043,-53083,1,81.8,1.2,1.6,155.8,4.7,10.4,2.5,5.3,26.3,81.9,88.5,122,38.2,19276,324,-99
Central African Republic,MiddleAfrica,622984,4659,7.5,97.3,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114,113,213,147,66,-99,0.4,40,2.6,5.1,470.5,93.5,4.2,...,1.2,8.6,20.4,4.6,60,35.6,19,5,32.25
Chad,MiddleAfrica,1284000,14900,11.8,100.2,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,5.8,146,151,1990,1371,619,-99,3.3,22.5,3.4,6.3,512.3,91.2,3.6,~0.0,2.8,12.8,40.2,2.7,43,4,288,6,5.74
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,3.7,7.4,7.8,...,4.9,15.8,129.5,64.3,197,23.4,540,85,0.02
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,132,133,2118981,1588696,530285,330602,0.5,55.6,3,1.6,301.7,11.6,5.5,1.5,-99,23.7,93.2,50.3,1080,22,101394,87,0
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,-13786,-18922,1,76.4,1.7,1.9,7127,17.9,7.2,...,4.5,18.7,115.7,55.9,835,52.8,5380,31,0.47
Comoros,EasternAfrica,2235,814,437.4,101.8,1079,4.8,1368.9,30.7,4,65.3,62,5.2,32.8,20,107,107,20,193,-173,...,2.4,28.3,2.7,4.6,...,58.1,6.7,...,4.3,6.1,54.8,7.5,114,20.1,3,6,12.05
Congo (Brazzaville),MiddleAfrica,342000,5261,15.4,100.1,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,-7253,...,2.6,65.4,3.2,4.9,54.9,46.5,5.2,...,...,7.4,111.7,7.6,134,65.4,648,24,1.05
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,1.9,10.1,9.3,9.3,1.2,7.2,35.1,150.7,59.8,340,53.4,110,44,0.22
